a team oriented mentality,1
ability for advocacy,1
ability for analytical thinking,1
ability for long working hours,1
ability for multitasking under tight deadlines,1
ability for multitasking,1
ability for results orientation,1
ability for strategic thinking,1
ability of monitoring results assessment,1
ability of training results assessment,1
ability to achieve results,2
ability to adapt to dynamic business environment,9
ability to adapt to rapidly changing situations,1
ability to adapt,1
ability to adhere to deadlines,2
ability to anticipate and prevent problems,2
ability to anticipate problems,1
ability to anticipate,1
ability to appropriately make decisions,3
ability to articulate problems,1
ability to attract the clientele,1
ability to be a member of a team,2
ability to be affirmative,2
ability to be creative,1
ability to be flexible in demanding situations,1
ability to be flexible,2
ability to be part of a big team,1
ability to be part of a multicultural team,1
ability to build and maintain lasting client relationships,1
ability to build partnership,1
ability to carry out numerous tasks,1
ability to clearly articulate problems,1
ability to communicate effectively at all levels,1
ability to communicate on telephone,1
ability to communicate with clients,1
ability to communicate with multinational groups,1
ability to complete assigned tasks according to deadlines,2
ability to complete assigned tasks,1
ability to complete tasks according to deadlines,2
ability to complete work according to deadlines,2
ability to concisely articulate problems,1
ability to contribute to project teams,1
ability to cooperation,1
ability to coordinate efforts,1
ability to coordinate logistics,1
ability to coordinate marketing,1
ability to coordinate project staff,1
ability to coordinate purchases,1
ability to coordinate sales development,1
ability to coordinate,1
ability to cope with stress,1
ability to demonstrate a sense of urgency to achieve goals,1
ability to demonstrate creativity to problem solving,1
ability to epxress thoughts,1
ability to establish connections with new retailers,1
ability to establish connections,1
ability to establish working relationships,2
ability to exchange ideas,1
ability to express thoughts clearly,7
ability to focus on details,1
ability to focus on meet deadlines,1
ability to focus on multiple tasks,2
ability to focus on priorities,2
ability to foster a spirit of unity,1
ability to get along with people,1
ability to get fun solving technical problems,1
ability to grasp a problem,1
ability to handle multiple priorities,25
ability to handle multiple tasks simultaneously,3
ability to handle multiple tasks while adhering to deadlines,1
ability to handle quick turnaround,1
ability to handle simultaneous multiple projects,1
ability to handle tight deadlines,1
ability to identify problems,4
ability to independently manage multiple projects at once,1
ability to lead in a team environment,1
ability to lead people,5
ability to lead project teams,1
ability to lead resultsbased management,1
ability to lead strategic planning,1
ability to learn easily,2
ability to maintain a spirit of unity,1
ability to maintain confidentiality of the information,1
ability to make decisions,12
ability to make trade offs,1
ability to manage a team,1
ability to manage people,5
ability to manage project teams,1
ability to manage time,1
ability to manage,4
ability to meet a schedule,2
ability to meet deadlines under pressure,2
ability to meet tight deadlines,5
ability to motivate others in a team environment,1
ability to motivate others,1
ability to multi task,1
ability to organize and prioritize workload,2
ability to organize project teams,1
ability to organize work,1
ability to organize workload,1
ability to overcome challenges,5
ability to perform multiple tasks at the same time,1
ability to plan work,1
ability to present ideas in a concise manner,1
ability to present ideas in a wellorganized manner,1
ability to present ideas,1
ability to present information in a concise manner,1
ability to present information in a wellorganized manner,1
ability to prevent problems,2
ability to prioritise workload activities,1
ability to prioritize workload,3
ability to prioritize,1
ability to process candidates,1
ability to promptly respond to rapidly changing situations,1
ability to propose alternatives to problem solving,6
ability to propose practical solutions,1
ability to read fluently,1
ability to report,2
ability to respect deadlines,1
ability to respond to rapidly changing situations,1
ability to sell,3
ability to separate joint moments,1
ability to take responsibilities,3
ability to thin creatively,1
ability to undertake multiple tasks,1
ability to work alone,1
ability to work and communicate with multinational groups,1
ability to work as part of a team on multiple tasks,1
ability to work being motivated,1
ability to work being selfdirected,1
ability to work creatively,1
ability to work diplomatically,1
ability to work efficiently without supervision,8
ability to work efficiently,2
ability to work in a flexible schedule,1
ability to work in a multitask environment,2
ability to work in a team environment,2
ability to work in a team while being selfdirected,2
ability to work in international teams,1
ability to work in multidisciplinary teams,1
ability to work in stressful situations,1
ability to work in timely fashion,1
ability to work independently in a fastpaced environment,1
ability to work independently on multiple tasks,1
ability to work under strict deadlines,1
ability to work unsupervised,1
ability to work with continuous quality improvement,1
ability to work with minimum supervision,1
ability to work with multidisciplinary team,1
ability to work with multinational groups,1
ability to work within flexible time frames,1
ability to work within strict time,1
ability to work within tight deadlines,2
ability to work within time frames,1
ability to work without supervision,5
able to adhere to deadlines,1
able to drive important projects successfully,1
able to understand tasks quickly,1
abstract thinking,1
acceptance,1
accuracy in work,6
accurate,1
achiever,1
achieving goals,1
acquiescence,1
active person,1
active personality,1
active thinking,1
advocacy skills,2
affirmative,2
ambitious,1
assertive,4
assertiveness,10
attendance during normal working hours,1
autonomy,1
availability,1
calm,12
challenger,2
character person,1
character,3
client relationships,1
coaching,1
collaborative work habit,1
commitment for diversity,1
commitment to accountability,1
commitment to communitydriven development,2
commitment to meeting deadlines,1
commitment to teamwork,1
commitment to work,1
commitment to gender equity,1
conceptual thinking,7
confident personality,2
conflict management,1
counseling,1
courtesy,1
curious,3
customer development skills,1
customer orientation,1
customer service ethic,1
decision maker,1
decision making abilities,1
delegation skills,2
desire to learn new things,1
detail oriented personality,2
diplomacy skills,1
discipline,3
disciplined mind,2
drive to increase your competencies,2
drive to increase your professionalism,2
dynamic person,1
easy going nature,1
easy to communicate,1
enthusiastic personality,2
enthusiastic to learn,2
enthusiastic to travel,1
ethical,3
flexibility to handle a variety of tasks simultaneously,1
flexibility to perform other duties,1
flexibility to shift priorities simultaneously,1
flexibility to work under pressure,1
flexibility to work within strict time frames,3
forward thinking,1
guest service ethics,1
hard worker,2
hard working person,3
hospitable,1
independent in problems solving,3
independent worker,1
initiative person,1
innovative thinking,7
interact with the team,2
intercultural communication skills,1
judgment skills,1
language skills,2
leadership ability,1
learn quickly,1
learning skills,1
listening skills,2
lobbying skills,2
make decisions,10
memory skills,5
multitask oriented,2
oral skills,1
organized person,2
organized personality,1
outgoing personality,1
outgoing,1
passion,1
people management skills,3
people oriented,1
personal commitment,12
personal integrity,8
persuasive power,1
pleasant disposition,1
pleasant,2
problem solver,2
problem solving,5
problemsolving,1
productive,10
professional attitude,1
progressive thinking,1
prompt,1
public relation skills,1
punctuality in work,5
qualityminded,1
rhetoric,1
rigorous,1
selfconfident,2
selflearner,1
selflearning,2
sensitivity to gender equity,1
sharp,3
skills in training,1
smart,1
sociable personality,4
solution oriented,1
staff management skills,2
strategic planning,2
strategic vision,1
structured personality,1
supervision skills,1
sympathy,1
systematic,2
talent for persuading people,1
talented,1
target oriented personality,1
team builder,2
team building,1
team leader personality,1
team leader,5
team orientated mentality,1
team work approach,3
team working ability,1
teamwork approach,1
teamworker,1
thorough followthrough,1
thorough personality,13
thorough,2
tolerant,1
undertake multiple tasks at the same time,1
unquestioned principles and behavior,2
work ethics,2
works collaboratively,1
young personality,1
polite manners,1
organizational skills,174
ability to take decisions independently,1
personal interest in the environment,1
ability to manage relationships,1
ability to adapt to flexible timelines,1
ability to develop relations,1
work collaboratively,1
ability to establish relations,1
communicator,1
willingness to work long hours when required,1
accountability,3
ability to remain calm under pressure,8
adjust to demanding work,1
persuade through influence,1
ability to direct the work,1
writing skills,18
vigorous,1
ability to motivate team members,5
ability to execute complicated tasks with minimal supervision,2
mentoring skills,4
collaborative,5
organizational,1
communicative,16
independent,4
reliable personality,3
goal oriented,6
ability to meet terms,9
encouraging innovation,1
ability to work on multiple tasks,2
able to work within strict timelines,1
ability to communicate with tact,1
willingness to work under pressure,2
willing to obtain new skills,3
written skills,4
sence of ethics,1
educational skills,1
skilled negotiator,1
friendly,4
loyalty,1
monitoring skills,1
flexible with hours,2
reliable,6
ability to respond to questions,1
sales driven,3
